method,replicate,high_count,high_type_counts,high_particle_volume_m3,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
homogeneous,0,0,{},0.0,0.08614881799090231,0.0,-15.492967871764229,0.0013241619957097613,9.154001041912386e-14,499
random,1,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10240832650139911,18.873745327781364,0.4566741561853771,0.001574080958507289,1.9566982974735975e-12,499
random,2,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1028630539704197,19.40158480326739,0.902735631319862,0.0015810704082400288,2.5879802554239596e-13,499
random,3,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.09979613713127979,15.841562842822409,-2.105733270565646,0.0015339299504008943,3.4195630048896257e-13,499
random,4,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1001621204338036,16.26638968439609,-1.7467247150676046,0.0015395553459845873,1.4157854430155662e-12,499
random,5,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10403532465081147,20.762335545681033,2.0526656983965497,0.0015990889524274085,1.356024842570129e-12,499
random,6,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10442831678470099,21.21851375340875,2.4381683629630446,0.0016051294908868488,1.0383184590446257e-12,499
random,7,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10260444808235337,19.10139973503624,0.6490581392655903,0.0015770954716497164,1.974819671137485e-12,499
random,8,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1029711919381888,19.527109413228395,1.008812753788435,0.001582732557420395,1.0869884487004735e-12,499
random,9,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10473198213933164,21.57100304079831,2.736046598305908,0.0016097970200694095,2.8345022423546e-12,499
random,10,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10231410026696772,18.764369207912445,0.364243643427109,0.0015726326414956028,1.671150653216434e-12,499
random,11,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10761885738004233,24.92203594877802,5.567905054480082,0.0016541701243006045,1.6540575617282772e-12,499
random,12,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10125354463975589,17.533295291931573,-0.6761003862731596,0.001556331228561088,4.108363165036267e-12,499
random,13,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10143185918975817,17.740279617614508,-0.501184075667882,0.0015590720363388576,3.8627524879522615e-12,499
random,14,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10375418036811587,20.435988313934583,1.7768793384149717,0.0015947675864105711,3.44710962413254e-12,499
random,15,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10179202817191728,18.158357300580686,-0.14787903380266698,0.0015646080621292396,3.243026985510339e-14,499
random,16,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10095341881457255,17.184914626726133,-0.9705065469468921,0.0015517181041920366,1.0219343920726916e-12,499
random,17,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10057443500182511,16.744997026478316,-1.3422678547260758,0.0015458928825171168,1.977789121734487e-13,499
random,18,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.09844890128551183,14.277715680218005,-3.4272940947042585,0.0015132220806027014,1.4845586316681858e-13,499
random,19,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10192578831133216,18.313623667008372,-0.01666803564127628,0.0015666640403455944,2.5337155201559573e-12,499
random,20,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10139817395339148,17.70117840049712,-0.5342273537797926,0.001558554272881929,2.291319062716588e-12,499
random,21,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10116560731130292,17.431219221123207,-0.7623618442264335,0.0015549795760247298,9.817213565995496e-13,499
random,22,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1002800906217256,16.403327358845043,-1.6310027505253677,0.0015413686226274492,3.21539241041609e-12,499
random,23,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10350776373212874,20.149952310500186,1.5351588010943606,0.0015909800063590458,2.1144593189951892e-12,499
random,24,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10116499454855434,17.430507937134788,-0.7629629292150497,0.0015549701574724736,1.1839296593785323e-13,499
random,25,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10014757071339778,16.249500630378712,-1.7609971533722346,0.0015393317075498541,3.245425755774407e-12,499
random,26,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10078419731342642,16.98848534877131,-1.1365030999774262,0.001549117062344912,1.0750217510461891e-13,499
random,27,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10113650208841246,17.397434401355238,-0.7909123927222095,0.0015545322102810434,3.3923770328413383e-13,499
random,28,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10122631229630343,17.501684476963298,-0.7028137478343965,0.001555912650162744,1.7501510615811245e-12,499
random,29,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10220884135512523,18.642186554340114,0.26099070911760336,0.001571014745231648,8.623846713406351e-13,499
random,30,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.09969010357144081,15.71848099177464,-2.209746089974607,0.0015323001473057038,1.0351678038635848e-12,499
random,31,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10283571373360392,19.36984874762162,0.8759164325790492,0.0015806501714522299,2.4509352370903696e-12,499
random,32,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10239380739095544,18.856891805258048,0.44243174449185574,0.0015738577905670967,3.6476297526488635e-12,499
random,33,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1010163926739982,17.258013551231755,-0.9087328153295382,0.0015526860523696127,1.451295187365704e-12,499
random,34,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10271503924485996,19.22977196936946,0.7575417045772914,0.0015787953279898003,2.3675617374801184e-12,499
random,35,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10133943552781684,17.632995891503377,-0.5918463685609776,0.0015576514260101128,2.1837850491807898e-12,499
random,36,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10433989672793607,21.115877340249554,2.351433376319312,0.0016037704185100348,1.1070720953387836e-12,499
random,37,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10055609461163659,16.723707831088007,-1.360258721914409,0.0015456109790825657,1.6644517603004024e-12,499
random,38,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1055683146317946,22.54180277080886,3.556440638046743,0.001622651981148662,1.9042753637107293e-12,499
random,39,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1019312758213809,18.31999347007325,-0.011285104118741174,0.001566748386856981,2.1740118411185482e-12,499
random,40,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10039159497153405,16.532759604590087,-1.5216234010292928,0.0015430825152357986,3.678080385519651e-12,499
random,41,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10187929647127271,18.25965677443375,-0.06227385488791759,0.0015659494312638559,2.31525488142011e-13,499
random,42,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10082066458072589,17.03081589740789,-1.1007308096410595,0.001549677587382533,1.2842422991842154e-12,499
random,43,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.09994649423480458,16.01609466697427,-1.9582416058556373,0.0015362410344867323,1.2985800747340715e-12,499
random,44,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10141461013538658,17.72025722523136,-0.5181044052319561,0.0015588069074282877,1.280894196282076e-12,499
