fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
1,packing_seed_18427,18427,mlp,1,0.12956511404570012,0.11123105321461323,0.12185743181780974,0.1789481826350723,16.482861845884432,0.27074480250410177,6.325163851651006,-27.596295118614712,1,50,0.20481927710843373,0.00011141295544803143,5.112616300815716,356
1,packing_seed_18427,18427,mlp,2,0.1290841035323427,0.11123105321461323,0.12185743181780974,0.1789481826350723,16.050419196591758,0.26364157002106486,5.930431658314972,-27.865093888333615,1,50,0.25,0.00011134007945656776,2.8377533538732678,184
1,packing_seed_18427,18427,mlp,3,0.1302521087734693,0.11123105321461323,0.12185743181780974,0.1789481826350723,17.100490383882416,0.2808898682156677,6.888933100289285,-27.212388046940138,1,50,0.25,0.000327100045979023,3.0314846949186176,201
1,packing_seed_18427,18427,mlp,ensemble,0.12986881700830705,0.11123105321461323,0.12185743181780974,0.1789481826350723,16.75589977354026,0.27522967900737494,6.574391952125835,-27.426579529367135,1,50,0.2345679012345679,0.0005498530808836222,10.981854349607602,247.0
1,packing_seed_18427,18427,gnn,1,0.1380249416809041,0.11123105321461323,0.12185743181780974,0.1789481826350723,24.0884965950954,0.3956737194207725,13.267561626661028,-22.868765891645115,1,50,0.2345679012345679,0.001317240996286273,10.36163329007104,37
1,packing_seed_18427,18427,gnn,2,0.13850766681123997,0.11123105321461323,0.12185743181780974,0.1789481826350723,24.522480735661347,0.4028022721882504,13.663700888037877,-22.599008957974377,1,50,0.21951219512195122,0.001302831107750535,4.488954039989039,22
1,packing_seed_18427,18427,gnn,3,0.14170020485089074,0.11123105321461323,0.12185743181780974,0.1789481826350723,27.39266666610558,0.44994747853372535,16.283596935431998,-20.814951700370766,1,50,0.2345679012345679,0.0012964478228241205,8.647471689851955,38
1,packing_seed_18427,18427,gnn,ensemble,0.1403310404420655,0.11123105321461323,0.12185743181780974,0.1789481826350723,26.161747449523574,0.4297286000823956,15.160018021613864,-21.580069506354505,1,50,0.2345679012345679,0.0039165199268609285,23.498059019912034,32.333333333333336
2,packing_seed_29173,29173,mlp,1,0.11669194598647893,0.10194278017026465,0.11045324644557976,0.15600268073055626,14.468082773081381,0.27283005820117856,5.648271772593816,-25.198755918799755,1,50,0.21951219512195122,0.00011157616972923279,2.4195961388759315,151
2,packing_seed_29173,29173,mlp,2,0.11741282448915134,0.10194278017026465,0.11045324644557976,0.15600268073055626,15.175223093826418,0.28616486820269593,6.300926652256034,-24.736662255218743,1,50,0.20481927710843373,0.0001058459747582674,2.813635100843385,167
2,packing_seed_29173,29173,mlp,3,0.11779589643629851,0.10194278017026465,0.11045324644557976,0.15600268073055626,15.550994626157944,0.2932509327935831,6.64774483956565,-24.49110753439392,1,50,0.2345679012345679,0.00010446482338011265,2.1280815980862826,113
2,packing_seed_29173,29173,mlp,ensemble,0.11762681148254175,0.10194278017026465,0.11045324644557976,0.15600268073055626,15.385132018257375,0.2901231994458649,6.494662011131025,-24.599493462741385,1,50,0.20481927710843373,0.00032188696786761284,7.361312837805599,143.66666666666666
2,packing_seed_29173,29173,gnn,1,0.13032089696739302,0.10194278017026465,0.11045324644557976,0.15600268073055626,27.83729926703127,0.5249383832195361,17.987384853918286,-16.462399006796645,1,50,0.26582278481012656,0.0013060399796813726,9.572440230986103,66
2,packing_seed_29173,29173,gnn,2,0.12410772585455639,0.10194278017026465,0.11045324644557976,0.15600268073055626,21.74253600624967,0.41000714863638615,12.362225510233582,-20.445132562233336,1,50,0.2987012987012987,0.0013504179660230875,12.574048429029062,94
2,packing_seed_29173,29173,gnn,3,0.1335734581715833,0.10194278017026465,0.11045324644557976,0.15600268073055626,31.027874606214546,0.5851042579340631,20.932125102719247,-14.377459703857342,1,50,0.3157894736842105,0.0013499080669134855,8.600392099004239,83
2,packing_seed_29173,29173,gnn,ensemble,0.12883628794728336,0.10194278017026465,0.11045324644557976,0.15600268073055626,26.380983265417356,0.4974760866795357,16.643278575574417,-17.41405510216455,1,50,0.28205128205128205,0.004006366012617946,30.746880759019405,81.0
3,packing_seed_37811,37811,mlp,1,0.1351541152117934,0.11316568628849416,0.12509606566159645,0.18101715679338773,19.43029697822356,0.3240670947833533,8.040260496605445,-25.33629540648582,1,50,0.20481927710843373,0.00010880199261009693,4.179057057015598,281
3,packing_seed_37811,37811,mlp,2,0.13821607842226374,0.11316568628849416,0.12509606566159645,0.18101715679338773,22.13603165000777,0.3691945354664481,10.487949953725085,-23.644763363495414,1,50,0.21951219512195122,0.00010555004701018333,2.551641635131091,151
3,packing_seed_37811,37811,mlp,3,0.13781381899543485,0.11316568628849416,0.12509606566159645,0.18101715679338773,21.78057105057889,0.363266006226984,10.166389539573384,-23.866985076594148,1,50,0.21951219512195122,0.00010550604201853275,3.0308422460220754,164
3,packing_seed_37811,37811,mlp,ensemble,0.13884822457652954,0.11316568628849416,0.12509606566159645,0.18101715679338773,22.694633974615485,0.3785111523291615,10.993278519353854,-23.29554444664582,1,50,0.21951219512195122,0.000319858081638813,9.761540938168764,198.66666666666666
3,packing_seed_37811,37811,gnn,1,0.15229758661184356,0.11316568628849416,0.12509606566159645,0.18101715679338773,34.579298378123326,0.5767288465844986,21.744505557697778,-15.86566195729423,1,50,0.21951219512195122,0.0013346010819077492,14.237329246010631,129
