seed,homogeneous,random,random_sample_sd,degree,heat_path,mlp,gnn,swap_optimized,search_restart_mean,teacher_actual_solves,teacher_unique_allocations,max_energy_imbalance,random_gain_percent,random_recovery_percent,degree_gain_percent,degree_recovery_percent,heat_path_gain_percent,heat_path_recovery_percent,mlp_gain_percent,mlp_recovery_percent,gnn_gain_percent,gnn_recovery_percent,swap_optimized_gain_percent,swap_optimized_recovery_percent
18427,0.19328328783092025,0.23025055868271022,0.004089094149166669,0.23131301358879577,0.24367558467968223,0.2804978166086435,0.3007688203169897,0.3450573537238081,0.33854848971407037,14967,14667,6.595622036403077e-12,0.0,0.0,0.46143423588806964,0.9254285913174624,5.830616035756053,11.693581370480903,21.82286037150294,43.76679786936482,30.626749414951494,61.42342150482972,49.86167924973588,100.0
29173,0.2039874470530446,0.2425617532884847,0.004512896523141662,0.2405583187835307,0.2538622104416306,0.27661925238161406,0.29059592185945016,0.3646634528079009,0.3593385069603404,14957,14830,8.697946598997257e-12,0.0,0.0,-0.8259482287676478,-1.640791662064797,4.658795956057427,9.254954843072381,14.040754006516408,27.89273140929021,19.802861712430484,39.339475830413996,50.33839748601983,100.0
37811,0.19851722758977827,0.23504755358669704,0.00458372700684507,0.23919513964909708,0.2543861817848038,0.2867411627403145,0.3192610393144542,0.36363465123763283,0.35709108631167297,14960,14834,6.474371154945393e-12,0.0,0.0,1.7645731679016174,3.225507176201402,8.22753859932166,15.039322413671448,21.992830116630135,40.201241102700386,35.828275786199626,65.49139631128793,54.70684365302554,100.0
46549,0.1912370510121461,0.2267070396684303,0.004458616223405736,0.2292657076623281,0.24494262860217544,0.2708556368108633,0.3148885565985241,0.3654591455210398,0.3523576354044011,14955,14849,6.761694014839088e-12,0.0,0.0,1.128623088916858,1.8440570528102465,8.043680055288771,13.142567330196796,19.47385366021379,31.81832583451393,38.89668228170744,63.553281867855254,61.20326305506039,100.0
55291,0.19517192761352758,0.23231042628410176,0.005153979314506315,0.22862247953429204,0.2536642049065472,0.28965698002117846,0.30487777794858717,0.35839950304131096,0.3519202730026291,14960,14854,7.066768362124248e-12,0.0,0.0,-1.5875080635853966,-2.924874100641594,9.191915732757948,16.935470678053406,24.685312086227796,45.48098472280858,31.237234085972474,57.55244905489907,54.276116132217766,100.0
64109,0.18676391460040867,0.22170151062767673,0.005106891315015459,0.2204002933078917,0.23423184403431305,0.26679984781358673,0.27133202937880324,0.3416668231921001,0.33344354675482746,14982,14878,6.728378425685877e-12,0.0,0.0,-0.5869230733255071,-1.0846613008124741,5.651893562276911,10.444963747255953,20.341916957727758,37.59281430762866,22.386188804313335,41.37072432872968,54.11118409828606,100.0
72869,0.1962337574502605,0.23405284890453923,0.00471763200851623,0.23590968373297702,0.2485467952529345,0.2748787141535738,0.2948322412994541,0.354651217746143,0.34870636373415415,14968,14844,7.221608465846507e-12,0.0,0.0,0.7933399816018039,1.539684861639045,6.192595568151682,12.01836018813148,17.443011456650037,33.852750780282975,25.968234387825962,50.39818778539511,51.52612728537691,100.0
81647,0.19536841579336633,0.23222318958097815,0.003902146956706084,0.23374118347610406,0.24730768743241782,0.27423106659687324,0.3016549977840959,0.3444228363207201,0.33935832458661486,14962,14873,6.565663523421742e-12,0.0,0.0,0.6536788586294806,1.3529399951205265,6.495689719298925,13.44433631456045,18.089441063872137,37.440293473772215,29.89874022848449,61.88237683508183,48.315436086376295,100.0
90439,0.20020190253883127,0.23853720457191052,0.005190277898500987,0.2351648506694014,0.2493493020376197,0.285383830953973,0.3093127260314777,0.34575586233233463,0.34001494927815185,14968,14854,5.987964444428048e-12,0.0,0.0,-1.4137643260141775,-3.1453050923697536,4.532667130527113,10.084156705140252,19.639127768825638,43.69260664197033,29.670642609644094,66.01045278678296,44.948400377561,100.0
99223,0.18122528340131236,0.2153324699668845,0.004009248582348427,0.21891713831697857,0.2308471363983339,0.23903662030150544,0.262636290645361,0.3276790101517193,0.31978030656157863,14963,14808,6.467082063285325e-12,0.0,0.0,1.6647133387014845,3.190724293063684,7.204982339094235,13.809652176136773,11.008163487033041,21.099136916564053,21.967806659976198,42.105275872894076,52.17352506201798,100.0
