method,effective_conductivity_W_mK,high_count,high_high_contact_count,high_cluster_count,largest_high_cluster_size,largest_high_cluster_fraction,spanning_high_cluster_count,largest_high_cluster_vertical_extent_ratio,high_particles_linked_to_hot_wall,high_particles_linked_to_cold_wall,high_incident_contact_heat_fraction,high_high_contact_heat_fraction,mean_vertical_alignment_high_high,heat_weighted_vertical_alignment_high_high,minimum_series_path_resistance_K_W,minimum_series_path_conductance_W_K,minimum_resistance_path_particle_count,minimum_resistance_path_high_count,minimum_resistance_path_high_fraction,minimum_resistance_path_atom_ids,relative_energy_balance_error,case
degree,0.23590968373297702,50,43,15,10,0.2,0,0.46633178399975533,0,0,0.3676205310225203,0.09978508260918369,0.5089224446796087,0.656300398501397,10096.023583538336,9.904889699648778e-05,13,8,0.6153846153846154,437 431 401 411 492 407 261 344 333 326 329 478 316,9.687633913471101e-15,packing_seed_72869
heat_path,0.2485467952529345,50,24,29,9,0.18,0,0.3637393500013822,0,0,0.4404404510150721,0.07690365904038987,0.5867774867734852,0.7223325517059885,8226.993829504652,0.00012155108180751,9,5,0.5555555555555556,376 426 370 262 450 448 314 478 316,1.9934016444356019e-13,packing_seed_72869
swap_optimized,0.354651217746143,50,64,5,40,0.8,1,1.0183468254962271,5,6,0.5014658543743407,0.37925650016467394,0.6510470302866667,0.7568392001200708,1734.08097295982,0.000576674339660822,9,9,1.0,259 273 306 262 450 448 314 478 316,2.3679269961223945e-12,packing_seed_72869
mlp,0.2748787141535738,50,21,32,5,0.1,0,0.4564912528923585,12,6,0.412247969023108,0.08383340281075408,0.5639140372944178,0.7400509164934882,5777.656351127694,0.00017308056056411492,10,8,0.8,260 251 286 294 338 323 347 314 478 316,3.303728613214019e-12,packing_seed_72869
gnn,0.2948322412994541,50,58,11,26,0.52,0,0.6157704854814076,4,6,0.42313386115515456,0.22608569492653705,0.6280191786591839,0.7663086273075218,5663.587767482511,0.0001765665230335972,9,7,0.7777777777777778,259 273 306 262 450 448 314 478 316,2.0584669798599035e-12,packing_seed_72869
random_near_mean,0.23217941826241548,50,15,36,6,0.12,0,0.2639478990324183,3,10,0.28220861921615553,0.03338958392265861,0.39775064945343547,0.5609086167980054,12113.175495926986,8.255473557171252e-05,10,3,0.3,425 376 401 397 385 473 500 465 192 456,2.466045044025066e-12,packing_seed_81647
degree,0.23374118347610406,50,45,18,12,0.24,0,0.4310908424059668,0,0,0.3612677973656314,0.09440210469486675,0.5116287620804988,0.6390682095340885,10802.381139550736,9.257218265875678e-05,10,5,0.5,267 287 250 280 314 302 291 471 495 433,3.7673589249314836e-13,packing_seed_81647
heat_path,0.24730768743241782,50,22,31,7,0.14,0,0.35126347220684556,0,0,0.42872689365363453,0.07778780706151024,0.5907099974375009,0.6822122525948912,8300.76487044489,0.00012047082595491032,10,6,0.6,403 247 256 259 335 302 291 471 495 433,1.0124189753275097e-12,packing_seed_81647
swap_optimized,0.3444228363207201,50,61,4,34,0.68,1,1.0183946418222156,5,6,0.49874584532571703,0.368856545990053,0.6376440254942676,0.7264307668867277,1776.2388593382075,0.0005629873452788781,9,9,1.0,372 402 370 379 490 479 497 469 367,4.474435225224769e-13,packing_seed_81647
mlp,0.27423106659687324,50,24,26,4,0.08,0,0.2277011448135615,3,8,0.41175480294881717,0.10915536260531329,0.6463079585400607,0.7438997954328271,6083.616422729023,0.00016437591237078921,8,5,0.625,425 376 401 385 449 482 452 475,1.0247576143439846e-13,packing_seed_81647
