method,packings,mean_k_W_mK,sd_k_W_mK,mean_gain_percent,sd_gain_percent,mean_recovery_percent,sd_recovery_percent
random,30,0.2283715235645018,0.007545570028360166,0.0,0.0,0.0,0.0
degree,30,0.22961471215740323,0.006797209041156072,0.5648191605773804,1.4103316555105325,1.0683120055993784,2.7604525128042487
heat_path,30,0.24373162937719772,0.007862110619700654,6.738151139937017,1.4681653449885652,12.976186113685035,2.6563937548920187
mlp,30,0.26921049975105515,0.012840457299046043,17.86613049361616,3.623586325168237,34.52656569118127,6.949490976037998
gnn,30,0.29698831604418097,0.015731494862127084,30.04037204498183,5.3197830800645125,57.98265814982869,9.786564208314523
swap_optimized,30,0.3467117587210465,0.0118402326022225,51.84580592839766,3.201281391000188,100.0,0.0
