id,type,x_m,y_m,z_m,radius_m,conductivity_W_mK,temperature_K,g_hot_W_K,g_cold_W_K,hot_link,cold_link
1,1,0.0151327,0.00115563,0.0017419,0.00075,1.0,300.89288860359505,0.0,0.0,none,none
2,1,0.0143213,0.013037,0.0102118,0.00075,1.0,300.3488787147444,0.0,0.0,none,none
3,1,0.00944696,0.00479737,0.00514464,0.00075,1.0,300.6351055040802,0.0,0.0,none,none
4,1,0.0109111,0.00425955,0.000707616,0.00075,1.0,300.94594975056305,0.0003565837909944871,0.0,contact,none
5,1,0.00670849,0.000866951,0.0051779,0.00075,1.0,300.653408359305,0.0,0.0,none,none
6,1,0.0148072,0.0143992,0.00983163,0.00075,1.0,300.3720834933327,0.0,0.0,none,none
7,1,0.0010147,0.000831218,0.00941065,0.00075,1.0,300.398406812258,0.0,0.0,none,none
8,1,0.00451682,0.000645025,0.0146578,0.00075,1.0,300.0717090175243,0.0,0.0003339108242499867,none,contact
9,1,0.0147206,0.0139046,0.0127193,0.00075,1.0,300.29289925867363,0.0,0.0,none,none
10,1,0.00355315,0.0144407,0.00649175,0.00075,1.0,300.5678737014739,0.0,0.0,none,none
11,1,0.00900278,0.0131608,0.00991587,0.00075,1.0,300.35406682868575,0.0,0.0,none,none
12,1,0.00433361,0.00239023,0.0146814,0.00075,1.0,300.06005210319347,0.0,0.00042696187013749435,none,contact
13,1,0.0106765,0.0141214,0.00590043,0.00075,1.0,300.5803555524975,0.0,0.0,none,none
14,1,0.00881584,0.0110499,0.00511223,0.00075,1.0,300.65236678373896,0.0,0.0,none,none
15,1,0.00440735,0.00171469,0.00676586,0.00075,1.0,300.56146034953326,0.0,0.0,none,none
16,1,0.00732712,0.00481976,0.00574086,0.00075,1.0,300.62286029905084,0.0,0.0,none,none
17,1,0.0129534,0.00863682,0.0112829,0.00075,1.0,300.3042502511621,0.0,0.0,none,none
18,1,0.014561,0.00517853,0.00553652,0.00075,1.0,300.6268097611857,0.0,0.0,none,none
19,1,0.00489308,0.00282388,0.00927113,0.00075,1.0,300.4311473857638,0.0,0.0,none,none
20,1,0.00520413,0.0128654,0.00795112,0.00075,1.0,300.4759959626724,0.0,0.0,none,none
21,1,0.0131483,0.0128473,0.00355844,0.00075,1.0,300.76498433908034,0.0,0.0,none,none
22,1,0.0101335,0.00352324,0.00755119,0.00075,1.0,300.50399642390926,0.0,0.0,none,none
23,1,0.00344209,0.0149641,0.00780268,0.00075,1.0,300.5019022541821,0.0,0.0,none,none
24,1,0.0065052,0.0126342,0.00859981,0.00075,1.0,300.446498466424,0.0,0.0,none,none
25,1,0.0151499,0.0117645,0.0146206,0.00075,1.0,300.0024383371299,0.0,0.011843372414109064,none,fluid_gap
