proposal,best_k_eff_W_mK,accepted_swaps
0,0.13735857264506576,0
1,0.13735857264506576,0
2,0.13735857264506576,0
3,0.1376949760402884,1
4,0.1455231159587399,2
5,0.1455231159587399,2
6,0.1455231159587399,2
7,0.1455231159587399,2
8,0.1455231159587399,2
9,0.1455231159587399,2
10,0.1455231159587399,2
11,0.1455231159587399,2
12,0.1455231159587399,2
13,0.1455231159587399,2
14,0.14604081699623467,3
15,0.14604081699623467,3
16,0.14604081699623467,3
17,0.14895681865161206,4
18,0.14895681865161206,4
19,0.14895681865161206,4
20,0.14895681865161206,4
21,0.14895681865161206,4
22,0.14895681865161206,4
23,0.14895681865161206,4
24,0.14895681865161206,4
25,0.14895681865161206,4
26,0.14895681865161206,4
27,0.14895681865161206,4
28,0.14895681865161206,4
29,0.15051076436890898,5
30,0.15051076436890898,5
31,0.15051076436890898,5
32,0.15051076436890898,5
33,0.15051076436890898,5
34,0.15051076436890898,5
35,0.15051076436890898,5
36,0.15051076436890898,5
37,0.15115050746977993,6
38,0.15115050746977993,6
39,0.15115050746977993,6
40,0.15115050746977993,6
41,0.15115050746977993,6
42,0.15155494810437092,7
43,0.15155494810437092,7
44,0.15155494810437092,7
45,0.15155494810437092,7
46,0.15155494810437092,7
47,0.15155494810437092,7
48,0.15155494810437092,7
49,0.15155494810437092,7
50,0.15155494810437092,7
51,0.15155494810437092,7
52,0.15155494810437092,7
53,0.15155494810437092,7
54,0.15155494810437092,7
55,0.15155494810437092,7
56,0.15155494810437092,7
57,0.15155494810437092,7
58,0.15155494810437092,7
59,0.15155494810437092,7
60,0.15155494810437092,7
61,0.15155494810437092,7
62,0.15155494810437092,7
63,0.15155494810437092,7
64,0.15155494810437092,7
65,0.15155494810437092,7
66,0.15155494810437092,7
67,0.15155494810437092,7
68,0.15155494810437092,7
69,0.15155494810437092,7
70,0.15155494810437092,7
71,0.15155494810437092,7
72,0.15241981209074087,8
73,0.15241981209074087,8
74,0.15327622205396801,9
75,0.15327622205396801,9
76,0.15327622205396801,9
77,0.15327622205396801,9
78,0.15327622205396801,9
79,0.15327622205396801,9
80,0.15327622205396801,9
81,0.15327622205396801,9
82,0.15327622205396801,9
83,0.15327622205396801,9
84,0.15327622205396801,9
85,0.15327622205396801,9
86,0.15335618728686845,10
87,0.15335618728686845,10
88,0.15335618728686845,10
89,0.15335618728686845,10
90,0.15335618728686845,10
91,0.15335618728686845,10
92,0.15335618728686845,10
93,0.15335618728686845,10
94,0.15335618728686845,10
95,0.15335618728686845,10
96,0.15335618728686845,10
97,0.15335618728686845,10
98,0.15335618728686845,10
99,0.15335618728686845,10
100,0.15335618728686845,10
101,0.15335618728686845,10
102,0.1535699742368837,11
103,0.1535699742368837,11
104,0.1535699742368837,11
105,0.1535699742368837,11
106,0.1535699742368837,11
107,0.1535699742368837,11
108,0.1535699742368837,11
109,0.1535699742368837,11
110,0.1535699742368837,11
111,0.1535699742368837,11
112,0.1535699742368837,11
113,0.1535699742368837,11
114,0.1535699742368837,11
115,0.15412264479466964,12
116,0.15412264479466964,12
117,0.15412264479466964,12
118,0.15412264479466964,12
119,0.15412264479466964,12
120,0.15412264479466964,12
121,0.15412264479466964,12
122,0.15412264479466964,12
123,0.15412264479466964,12
124,0.15412264479466964,12
125,0.1544790194174787,13
126,0.1544790194174787,13
127,0.1544790194174787,13
128,0.1544790194174787,13
129,0.1544790194174787,13
130,0.1544790194174787,13
131,0.1544790194174787,13
132,0.1544790194174787,13
133,0.1544790194174787,13
134,0.1544790194174787,13
135,0.1544790194174787,13
136,0.1544790194174787,13
137,0.1544790194174787,13
138,0.1544790194174787,13
139,0.1544790194174787,13
140,0.1544790194174787,13
141,0.1544790194174787,13
