method,replicate,high_count,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
homogeneous,0,0,0.09392563841884521,0.0,-15.335741388799507,0.001443696660239097,9.537576673678933e-14,497
random,1,50,0.11265989002195131,19.945833659989542,1.5512508032539118,0.0017316539946452118,8.464978233134205e-13,497
random,2,50,0.11102005560848945,18.199947828317775,0.07310950767103197,0.001706448699201779,1.5179922090327476e-12,497
random,3,50,0.11316123581963144,20.479602507473405,2.0031622406736727,0.0017393599976697333,7.466294291825631e-13,497
random,4,50,0.11451697363696565,21.923018639806237,3.225219807787738,0.0017601985481655743,6.824775582083585e-13,497
random,5,50,0.11235295486723515,19.619048386146165,1.2745804739038524,0.0017269362065605819,1.2994583402011575e-12,497
random,6,50,0.1136481299238954,20.997985041210086,2.442046969631795,0.0017468438689965523,1.892278778965148e-12,497
random,7,50,0.11254220404575133,19.820536692962087,1.4451690550578045,0.0017298450865168556,1.214415178435369e-12,497
random,8,50,0.10898673144556376,16.035124466821493,-1.7597221415818654,0.0016751952166317815,2.5351194102343433e-12,497
random,9,50,0.108554651482881,15.57510101640216,-2.149197585317053,0.001668553873441761,4.4692249144883544e-13,497
random,10,50,0.1111404175114325,18.328093779699373,0.1816033273485118,0.0017082987380221066,3.4982888190032516e-13,497
random,11,50,0.11439533455832146,21.793512915179946,3.1155747461738326,0.0017583288783443263,5.138823013586494e-13,497
random,12,50,0.10993360239686807,17.043231483440223,-0.9062158099541251,0.001689749223962342,9.940208770590367e-13,497
random,13,50,0.11294743316754684,20.25197280414237,1.8104412399695846,0.0017360737152450306,2.907362025846898e-12,497
random,14,50,0.1109958980818553,18.174227985428427,0.05133399337280409,0.0017060773826889667,5.477959453450979e-13,497
random,15,50,0.11062549644375572,17.779871721968355,-0.2825448133725095,0.00170038407448395,2.524982836213346e-14,497
random,16,50,0.1084962353680161,15.512907012881637,-2.2018536772983377,0.001667655980690066,7.529868094576081e-13,497
random,17,50,0.11278366040239644,20.07760852202796,1.6628170132346742,0.0017335564239274951,1.2544689561615214e-12,497
random,18,50,0.1136241295999041,20.972432567577414,2.4204131572738596,0.0017464749687881088,1.1286045232852052e-12,497
random,19,50,0.11199609740738696,19.23911223042174,0.9529103444638531,0.0017214510809693473,5.557520672980683e-13,497
random,20,50,0.11182121613913522,19.052921035774872,0.7952729499167477,0.0017187630449105715,1.7055671767243712e-12,497
random,21,50,0.11087398254485187,18.044427923319972,-0.058560266888207924,0.0017042034635273186,1.1301330976142567e-12,497
