id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,156,contact,0.0016889485227501763,-6.105147724982376e-05,6.105147724982376e-05,0.00016175573814042283,0.00016175573814042283,0.0,0.00016175573814042283,300.26513643296323,300.3017070851665,-5.915512841420686e-06
1,164,contact,0.001598167720610074,-0.0001518322793899261,0.0001518322793899261,0.0002550901348178657,0.0002550901348178657,0.0,0.0002550901348178657,300.26513643296323,300.1675233266182,2.4900140457542456e-05
1,320,contact,0.0016082307026356643,-0.00014176929736433577,0.00014176929736433577,0.000246491927451998,0.000246491927451998,0.0,0.000246491927451998,300.26513643296323,300.3537519779851,-2.1843016494649214e-05
1,420,contact,0.0018847549300903814,-0.0001152450699096186,0.0001152450699096186,0.0002324244533609442,0.0002324244533609442,0.0,0.0002324244533609442,300.26513643296323,300.2528382911921,2.8583888785060214e-06
2,54,contact,0.0014483399956156692,-5.166000438433082e-05,5.166000438433082e-05,0.00013918513442219343,0.00013918513442219343,0.0,0.00013918513442219343,300.1471618464029,300.10852178611503,5.378121985251538e-06
2,256,contact,0.0016965178390161418,-5.3482160983858284e-05,5.3482160983858284e-05,0.00015139658561519564,0.00015139658561519564,0.0,0.00015139658561519564,300.1471618464029,300.18723276041277,-6.0665995635707374e-06
2,272,contact,0.001655801300307498,-9.419869969250205e-05,9.419869969250205e-05,0.00020092503899909187,0.00020092503899909187,0.0,0.00020092503899909187,300.1471618464029,300.11342708255165,6.7781587424417914e-06
2,308,contact,0.0017124211254536657,-3.7578874546334356e-05,3.7578874546334356e-05,0.00012690639049484076,0.00012690639049484076,0.0,0.00012690639049484076,300.1471618464029,300.18553519331624,-4.869822947975478e-06
2,458,contact,0.0018930534451250974,-0.00010694655487490266,0.00010694655487490266,0.00022389997230372902,0.00022389997230372902,0.0,0.00022389997230372902,300.1471618464029,300.15537557984123,-1.8390546893479463e-06
2,500,contact,0.0019474190388563016,-5.258096114369847e-05,5.258096114369847e-05,0.00015699466722187943,0.0002854448494943262,0.0,0.0002854448494943262,300.1471618464029,300.1449926131016,6.191964732204397e-07
3,63,contact,0.0014987756484877914,-1.2243515122086369e-06,1.2243515122086369e-06,2.1427361411948014e-05,2.1427361411948014e-05,0.0,2.1427361411948014e-05,300.8603934877533,300.85939286927953,2.144061367289115e-08
3,269,contact,0.0017480301683895508,-1.969831610449226e-06,1.969831610449226e-06,2.905535316142935e-05,2.905535316142935e-05,0.0,2.905535316142935e-05,300.8603934877533,300.78185312959516,2.282017843709799e-06
3,309,contact,0.001747976782459081,-2.023217540918958e-06,2.023217540918958e-06,2.944644684545846e-05,2.944644684545846e-05,0.0,2.944644684545846e-05,300.8603934877533,300.93861883254516,-2.3034584573811843e-06
5,198,contact,0.001670304748032525,-7.969525196747495e-05,7.969525196747495e-05,0.0001848110061280461,0.0001848110061280461,0.0,0.0001848110061280461,300.81437068061507,300.7924032064112,4.059831009705013e-06
5,348,contact,0.0016647187836404582,-8.528121635954181e-05,8.528121635954181e-05,0.0001911781701071488,0.0003475966729220887,0.0,0.0003475966729220887,300.81437068061507,300.86965914061756,-1.9218084747850378e-05
5,499,contact,0.0019107887733865302,-8.921122661346981e-05,8.921122661346981e-05,0.00020449391794149764,0.00020449391794149764,0.0,0.00020449391794149764,300.81437068061507,300.7402449858719,1.5158253738161244e-05
