id,type,x_m,y_m,z_m,radius_m,conductivity_W_mK,temperature_K,g_hot_W_K,g_cold_W_K,hot_link,cold_link
1,1,0.0151327,0.00115563,0.0017419,0.00075,10.0,300.9087722021727,0.0,0.0,none,none
2,1,0.0143213,0.013037,0.0102118,0.00075,1.0,300.39918834410673,0.0,0.0,none,none
3,1,0.00944696,0.00479737,0.00514464,0.00075,1.0,300.6411365092738,0.0,0.0,none,none
4,1,0.0109111,0.00425955,0.000707616,0.00075,1.0,300.9689620546368,0.0003565837909944871,0.0,contact,none
5,1,0.00670849,0.000866951,0.0051779,0.00075,1.0,300.6715095068003,0.0,0.0,none,none
6,1,0.0148072,0.0143992,0.00983163,0.00075,10.0,300.4732001692116,0.0,0.0,none,none
7,1,0.0010147,0.000831218,0.00941065,0.00075,10.0,300.4252459010969,0.0,0.0,none,none
8,1,0.00451682,0.000645025,0.0146578,0.00075,1.0,300.0429167631064,0.0,0.0003339108242499867,none,contact
9,1,0.0147206,0.0139046,0.0127193,0.00075,1.0,300.19137100394636,0.0,0.0,none,none
10,1,0.00355315,0.0144407,0.00649175,0.00075,1.0,300.5810281460195,0.0,0.0,none,none
11,1,0.00900278,0.0131608,0.00991587,0.00075,1.0,300.3499886964028,0.0,0.0,none,none
12,1,0.00433361,0.00239023,0.0146814,0.00075,1.0,300.03863269631546,0.0,0.00042696187013749435,none,contact
13,1,0.0106765,0.0141214,0.00590043,0.00075,1.0,300.61392602757684,0.0,0.0,none,none
14,1,0.00881584,0.0110499,0.00511223,0.00075,1.0,300.66491290634167,0.0,0.0,none,none
15,1,0.00440735,0.00171469,0.00676586,0.00075,1.0,300.5820197577295,0.0,0.0,none,none
16,1,0.00732712,0.00481976,0.00574086,0.00075,1.0,300.6201570193516,0.0,0.0,none,none
17,1,0.0129534,0.00863682,0.0112829,0.00075,1.0,300.2812410542811,0.0,0.0,none,none
18,1,0.014561,0.00517853,0.00553652,0.00075,1.0,300.66147857281675,0.0,0.0,none,none
19,1,0.00489308,0.00282388,0.00927113,0.00075,1.0,300.4022075983455,0.0,0.0,none,none
20,1,0.00520413,0.0128654,0.00795112,0.00075,1.0,300.4856859682397,0.0,0.0,none,none
21,1,0.0131483,0.0128473,0.00355844,0.00075,1.0,300.7591319584769,0.0,0.0,none,none
22,1,0.0101335,0.00352324,0.00755119,0.00075,1.0,300.53759480703866,0.0,0.0,none,none
23,1,0.00344209,0.0149641,0.00780268,0.00075,1.0,300.51855433113803,0.0,0.0,none,none
24,1,0.0065052,0.0126342,0.00859981,0.00075,1.0,300.4476352622932,0.0,0.0,none,none
25,1,0.0151499,0.0117645,0.0146206,0.00075,1.0,300.15151242570795,0.0,0.0,none,none
26,1,0.00331565,0.0101723,0.00853776,0.00075,1.0,300.4388519685126,0.0,0.0,none,none
27,1,0.00614201,0.00943366,0.0120799,0.00075,1.0,300.219650765177,0.0,0.0,none,none
28,1,0.00809682,0.0118118,0.00060256,0.00075,1.0,300.95058321633235,0.0006650714247357196,0.0,contact,none
29,1,0.00901365,0.00584643,0.0138838,0.00075,1.0,300.0923556557782,0.0,0.0,none,none
30,1,0.00360533,0.00803064,0.00957249,0.00075,1.0,300.33242253486685,0.0,0.0,none,none
31,1,0.00154186,0.012482,0.00257877,0.00075,1.0,300.7963066559633,0.0,0.0,none,none
32,1,0.00803572,0.00260863,0.00192811,0.00075,1.0,300.8681369605069,0.0,0.0,none,none
33,1,0.0117285,0.0120384,0.00640567,0.00075,1.0,300.5761830052023,0.0,0.0,none,none
34,1,0.00589282,0.0104346,0.00926257,0.00075,1.0,300.3968070134034,0.0,0.0,none,none
35,1,0.0014993,0.0125015,0.0126506,0.00075,1.0,300.1515124257078,0.0,0.0,none,none
36,1,0.00455226,0.00648969,0.0147271,0.00075,10.0,300.0422959244493,0.0,0.005651516951680357,none,contact
37,1,0.00519157,0.00363314,0.0146867,0.00075,1.0,300.0531287350679,0.0,0.00044519258591232833,none,contact
38,1,0.00935738,0.00719085,0.0025238,0.00075,1.0,300.8719272116871,0.0,0.0,none,none
39,1,0.00904302,0.0137127,0.00310217,0.00075,1.0,300.7882086713725,0.0,0.0,none,none
40,1,0.0135203,0.00288739,0.00207765,0.00075,1.0,300.8943301058462,0.0,0.0,none,none
41,1,0.000439146,0.0110944,0.0134521,0.00075,1.0,300.15151242570795,0.0,0.0,none,none
42,1,0.00988317,0.0135683,0.0110293,0.00075,1.0,300.30825484711465,0.0,0.0,none,none
43,1,0.0141238,0.00807977,0.00377993,0.00075,1.0,300.7597226656196,0.0,0.0,none,none
44,1,0.00200279,0.00132408,0.0126816,0.00075,1.0,nan,0.0,0.0,none,none
45,1,0.0102279,0.0128672,0.00336011,0.00075,1.0,300.78719903868074,0.0,0.0,none,none
46,1,0.00295233,0.0096089,0.0147241,0.00075,1.0,300.04351622446535,0.0,0.0005571323348642633,none,contact
47,1,0.00518597,0.00873135,0.000823127,0.00075,1.0,nan,0.0,0.0,none,none
48,1,0.00133145,0.00697416,0.0113659,0.00075,10.0,300.2775291815833,0.0,0.0,none,none
49,1,0.00446207,0.000609924,0.00765116,0.00075,1.0,300.50535171952,0.0,0.0,none,none
50,1,0.00831433,0.000220829,0.0128202,0.00075,1.0,300.1599065845759,0.0,0.0,none,none
51,1,0.00464623,0.00358161,0.000637897,0.00075,1.0,300.94286072348973,0.0005799215464181341,0.0,contact,none
52,1,0.00751657,0.0133117,0.00783416,0.00075,1.0,300.4939629532945,0.0,0.0,none,none
53,1,0.00837038,0.00561283,0.0045936,0.00075,1.0,300.6827904401215,0.0,0.0,none,none
54,1,0.0131996,0.00924544,0.000649426,0.00075,1.0,300.9594067235848,0.0005492922719281603,0.0,contact,none
55,1,0.000778654,0.00867041,0.00876685,0.00075,1.0,300.4177197779006,0.0,0.0,none,none
56,1,0.0111335,0.00654266,0.000629808,0.00075,1.0,300.9623307302449,0.0006004798081534465,0.0,contact,none
57,1,0.0117349,0.0129254,0.00322802,0.00075,1.0,300.7792143139307,0.0,0.0,none,none
58,1,0.00100069,0.00971544,0.0128179,0.00075,10.0,300.13465562503393,0.0,0.0,none,none
59,1,0.00213613,0.00532787,0.00279534,0.00075,1.0,300.84861930565614,0.0,0.0,none,none
60,1,0.0120355,0.013347,0.00068661,0.00075,1.0,300.95438620402837,0.00043608485412818446,0.0,contact,none
61,1,0.0110029,0.00961298,0.00729321,0.00075,1.0,300.54907636467715,0.0,0.0,none,none
62,1,0.0060172,0.0129855,0.0130881,0.00075,1.0,300.16659063165645,0.0,0.0,none,none
63,1,0.00992413,0.0133021,0.00053523,0.00075,1.0,300.9345467902566,0.0008026892300261665,0.0,contact,none
64,1,0.00293915,0.00172612,0.00892091,0.00075,1.0,300.46118340959214,0.0,0.0,none,none
65,1,0.0141194,0.00470703,0.00433182,0.00075,1.0,300.73691370032617,0.0,0.0,none,none
66,1,0.00121268,0.0113235,0.00138436,0.00075,1.0,300.91271043156803,0.0,0.0,none,none
67,1,0.00688462,0.00627852,0.00651933,0.00075,10.0,300.4254283790323,0.0,0.0,none,none
68,1,0.014513,0.00303612,0.00319182,0.00075,1.0,300.8358112387236,0.0,0.0,none,none
69,1,0.00707004,0.0133918,0.0112428,0.00075,1.0,300.2775455038198,0.0,0.0,none,none
70,1,0.0100237,0.00090997,0.00807165,0.00075,1.0,300.46581499984535,0.0,0.0,none,none
71,1,0.00294313,0.00540802,0.00424802,0.00075,1.0,300.75233544479556,0.0,0.0,none,none
72,1,0.00202257,0.0139033,0.0111178,0.00075,1.0,300.3020479299739,0.0,0.0,none,none
73,1,0.00319117,0.000773919,0.00404224,0.00075,1.0,300.7730424915484,0.0,0.0,none,none
74,1,0.00411156,0.0111401,0.00131896,0.00075,1.0,300.93197213390147,0.0,0.0,none,none
75,1,0.00365903,0.00848651,0.0109622,0.00075,1.0,300.26167873259953,0.0,0.0,none,none
76,1,0.0139297,0.00441449,0.000810209,0.00075,1.0,300.92649923716215,0.0,0.0,none,none
77,1,0.0132174,0.0116445,0.00633496,0.00075,1.0,300.59801863738016,0.0,0.0,none,none
78,1,0.0152694,0.0114629,0.000730223,0.00075,1.0,300.9617306195018,0.00024357955579235304,0.0,contact,none
79,1,2.10957e-05,0.0124219,0.0128926,0.00075,1.0,300.15151242570784,0.0,0.0,none,none
80,1,0.00812884,0.00672759,0.00191333,0.00075,1.0,300.8889094708257,0.0,0.0,none,none
81,1,0.0139239,0.0132632,0.0116239,0.00075,1.0,300.3307690278331,0.0,0.0,none,none
82,1,0.0143449,0.00874883,0.0113934,0.00075,1.0,300.2832680574892,0.0,0.0,none,none
83,1,0.00970284,0.0148041,0.0072549,0.00075,1.0,300.5181467282759,0.0,0.0,none,none
84,1,0.0141921,0.0016198,0.00281419,0.00075,1.0,300.9087722021727,0.0,0.0,none,none
85,1,0.0124835,0.0087772,0.00175103,0.00075,1.0,300.87946351650146,0.0,0.0,none,none
86,1,0.00855338,0.00550281,0.00613339,0.00075,1.0,300.60792577021783,0.0,0.0,none,none
87,1,0.00574114,0.00670103,0.000719644,0.00075,1.0,300.95407618399753,0.0003017747504348237,0.0,contact,none
88,1,0.00946706,0.00689528,0.0146936,0.00075,1.0,300.03896580692015,0.0,0.0004678636965520007,none,contact
89,1,0.0108709,0.0145836,0.0146587,0.00075,1.0,300.0499658870833,0.0,0.0003379296355031696,none,contact
90,1,0.0119734,0.000960034,0.00193928,0.00075,1.0,300.90255532296254,0.0,0.0,none,none
91,1,0.000840014,0.000597723,0.00628912,0.00075,10.0,300.6205179945217,0.0,0.0,none,none
92,1,0.0127506,0.0149793,0.00864884,0.00075,1.0,300.5168165195134,0.0,0.0,none,none
93,1,0.00327322,0.000392376,0.00893675,0.00075,1.0,300.4421896910212,0.0,0.0,none,none
