method,replicate,high_count,high_type_counts,high_particle_volume_m3,effective_conductivity_W_mK,improvement_vs_homogeneous_percent,improvement_vs_random_mean_percent,heat_rate_hot_W,relative_energy_balance_error,thermally_solved_particles
homogeneous,0,0,{},0.0,0.08935447330742684,0.0,-15.396180223608235,0.0013734349519787027,9.836038503102597e-14,489
random,1,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10721301079751167,19.986170618052856,1.512883546291377,0.0016479320048091387,2.611929747226415e-13,489
random,2,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10578228020114527,18.38498542451037,0.15821971086040776,0.0016259407677151182,1.444988744008382e-12,489
random,3,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10558382105051028,18.16288221771043,-0.029688085938184283,0.0016228903246434624,8.031521489582979e-13,489
random,4,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1028184224556788,15.068019148777068,-2.648060459104684,0.0015803843935388508,8.350442397075037e-13,489
random,5,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10754033777719597,20.352494728719517,1.8228077366772677,0.0016529632281825598,1.2550263680772234e-12,489
random,6,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10497373818472958,17.48011520762276,-0.6073350566454305,0.0016135129638863383,2.021363973059502e-12,489
random,7,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10526893437336371,17.810480524218054,-0.32783337958943726,0.001618050316613673,1.8196340307625007e-12,489
random,8,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1039469799915741,16.331030942280055,-1.5795042375748358,0.001597731038958434,2.7565628742680108e-12,489
random,9,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1053592892696328,17.91160013572113,-0.24228232571479325,0.0016194391287013615,3.5504520418223233e-12,489
random,10,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10433088260206358,16.76067099977181,-1.2160123376473209,0.0016036318656757272,2.0439603864259192e-12,489
random,11,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10345003747383931,15.774883612056279,-2.050026122528592,0.0015900927171406442,5.558428143734509e-13,489
random,12,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10366882612322499,16.01973833648953,-1.8428696727550986,0.0015934556375075816,1.2788974825735943e-12,489
random,13,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10798495610009591,20.850084056307196,2.243787314616097,0.0016597972939249646,6.401493320447728e-15,489
random,14,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10408516262342113,16.4856763973225,-1.4486682754983549,0.0015998549936896331,1.0611235195526354e-12,489
random,15,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10740784823666102,20.20422062935896,1.697362184879192,0.0016509267798772102,2.0844399263575693e-12,489
random,16,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10583817199577654,18.447536064184522,0.21113994131931602,0.0016267998600630895,8.999918488237669e-13,489
random,17,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1040285427005273,16.42231088153121,-1.502277922278783,0.0015989847095482543,7.350133793996455e-13,489
random,18,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10434909435585174,16.781052468224434,-1.1987688368098826,0.001603911791887182,2.2271981139898942e-12,489
random,19,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10967240721346745,22.738574974457215,3.841522767501271,0.0016857344882597806,3.94516228523348e-12,489
random,20,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10796505870151953,20.827816118463804,2.2249477886151503,0.0016594914582835386,2.4907704958293386e-12,489
random,21,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10714276774064706,19.907558933304937,1.4463750582040413,0.0016468523244544714,5.266785158017865e-16,489
random,22,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10344542695970857,15.769723809798952,-2.0543915123311995,0.001590021850612989,7.705230305076335e-13,489
random,23,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10496915406937467,17.4749849492426,-0.6116754511994449,0.0016134425031246184,3.9888772506040143e-13,489
random,24,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1057345791516686,18.331601360220095,0.11305475331895298,0.0016252075723173689,2.672333760011987e-12,489
random,25,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10451138436617267,16.96267741022659,-1.0451071982094162,0.0016064062923221505,5.094326408599051e-13,489
random,26,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10594403971425446,18.5660166668441,0.3113790568634034,0.001628427114071331,2.490081435059037e-13,489
random,27,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10487405817395169,17.36855950471472,-0.701715442484041,0.0016119808188716739,4.457926493356611e-13,489
random,28,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10300024736426512,15.271506340694962,-2.4759025219864172,0.0015831791577554514,9.167080181533981e-13,489
random,29,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.106963854484535,19.70733028275209,1.276973971549622,0.0016441023141839034,3.772709627165184e-12,489
random,30,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10504183636234331,17.556326476172735,-0.5428574123521046,0.0016145596760859498,2.5318827985654034e-12,489
random,31,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1047441960318253,17.223225827149857,-0.8246732851254102,0.001609984755347002,2.7598257241325035e-12,489
random,32,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10555492550077324,18.130544105618807,-0.05704736401128674,0.001622446181709186,5.1531549872760245e-12,489
random,33,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10241294668821162,14.61423574828391,-3.0319785494330898,0.0015741519737102001,9.481376230312535e-13,489
random,34,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10523137194225364,17.76844297453564,-0.3633987523611659,0.0016174729582133795,5.257881931064948e-13,489
random,35,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10459562953622815,17.056959394034642,-0.9653410385468408,0.0016077011940411894,2.9149418360247976e-12,489
random,36,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10355680945610789,15.894376210822125,-1.9489308196226074,0.0015917338702571217,9.111000607664559e-13,489
random,37,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10714953265528111,19.915129807357058,1.452780306842616,0.0016469563054848737,1.213917333084466e-12,489
random,38,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10857999413503402,21.516013822230473,2.8071893336151676,0.0016689434060857848,1.8488580089905948e-13,489
random,39,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10429215911436633,16.71733406736775,-1.2526770378350816,0.0016030366610989743,3.0903451472589824e-12,489
random,40,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10542969876123764,17.990398083936434,-0.175616251619215,0.0016205213672635924,1.620695287136984e-12,489
random,41,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10335454504103574,15.66801438741765,-2.1404415687382716,0.0015886249378565486,1.2214998027982685e-12,489
random,42,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10467722055932976,17.148271020729467,-0.8880879144630538,0.0016089552998374364,1.9905669336157281e-13,489
random,43,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10237921615364945,14.576486620217178,-3.0639157537098227,0.0015736335139912645,5.765385458998978e-13,489
random,44,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.11069159799464277,23.879190260352033,4.806526868321703,0.001701400097263872,1.0208603391494938e-12,489
random,45,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10495362435957697,17.457605058541127,-0.626379502605845,0.0016132038016311088,7.691284665563797e-13,489
random,46,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10729503880629024,20.077971292090012,1.5905504231072731,0.001649192827352517,2.719589530549865e-12,489
random,47,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1074014055896496,20.197010417298,1.6912620700616277,0.0016508277523046531,1.9300943663275606e-12,489
random,48,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10350150299337248,15.832480638403347,-2.0012968381613483,0.001590883774831795,4.2662485513606184e-13,489
random,49,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10605514499891237,18.69035882963168,0.4165772761742792,0.001630134872795102,3.2882527882967945e-13,489
random,50,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10502355122073376,17.5358628766094,-0.5601703992464291,0.0016142786218571142,6.788862474605398e-13,489
random,51,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1087765028062775,21.73593417313151,2.9932503509430886,0.001671963869051574,1.6199834921285312e-12,489
random,52,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10630707462410141,18.97230288443268,0.6551127161683601,0.001634007190988765,2.598358031021926e-13,489
random,53,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10529363784818056,17.838127125336566,-0.3044432990048307,0.001618430024696469,1.337140008068579e-13,489
random,54,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.1074300681142296,20.229087742046346,1.7184007120808253,0.0016512683134944067,2.4661427380253237e-12,489
random,55,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10729922986339271,20.082661663984513,1.5945186568917302,0.0016492572465594936,9.53475774778868e-13,489
random,56,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10509282532078969,17.613390164826505,-0.4945793520456987,0.0016153434087308092,1.0547078006035573e-12,489
random,57,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10324974951132745,15.550733712114774,-2.2396654999040644,0.0015870141640700222,1.6937177291020776e-12,489
random,58,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10288724192001225,15.145037636812543,-2.5828998762926436,0.0015814421923730157,9.706415088749717e-13,489
random,59,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10604622111678497,18.68037177269195,0.40812784452002315,0.0016299977070644176,2.0775471344883054e-12,489
random,60,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10613140325056834,18.775702348353573,0.4887811529445729,0.0016313070105104768,9.960022026612406e-13,489
random,61,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10330792392599421,15.61583891895384,-2.1845840080448986,0.001587908341736308,8.481572287660076e-13,489
random,62,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10584277558548563,18.452688117057427,0.21549877484667856,0.0016268706201579902,2.3497135988466987e-12,489
random,63,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10554196586660759,18.116040484606955,-0.06931798139320211,0.0016222469839089068,1.366474885667169e-12,489
random,64,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10583226836468387,18.440929085402004,0.2055501848974739,0.0016267091175072204,2.5340342753513775e-13,489
random,65,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10622249719500232,18.877649056853052,0.5750319624714395,0.0016327071822374007,9.27813199988164e-13,489
random,66,50,"{""1"": 10, ""2"": 30, ""3"": 10}",2.2514747350726852e-07,0.10634852748897367,19.01869436696051,0.6943616824378163,0.0016346443478245432,9.046932840388255e-13,489
