atom_id,atom_type,x_m,y_m,z_m,radius_m,high_conductivity,temperature_K,contact_degree,absolute_heat_throughput_W,hot_wall_link,cold_wall_link,on_minimum_resistance_path
49,1,0.00446207,0.000609924,0.00765116,0.00075,0,300.4772679031636,4,4.121729754162485e-05,0,0,0
50,1,0.00831433,0.000220829,0.0128202,0.00075,0,300.185410626192,6,3.810398473124594e-05,0,0,0
51,1,0.00464623,0.00358161,0.000637897,0.00075,0,300.9339555497095,2,3.8300599744856136e-05,1,0,0
52,1,0.00751657,0.0133117,0.00783416,0.00075,0,300.46052370780046,5,4.3795697829315176e-05,0,0,0
53,1,0.00837038,0.00561283,0.0045936,0.00075,0,300.71085474653165,4,3.518528960230974e-05,0,0,0
54,1,0.0131996,0.00924544,0.000649426,0.00075,0,300.9479684673606,2,2.858051877539656e-05,1,0,0
55,1,0.000778654,0.00867041,0.00876685,0.00075,0,300.40828389808274,6,7.697164902363419e-05,0,0,0
56,1,0.0111335,0.00654266,0.000629808,0.00075,0,300.9125338593436,5,5.5651149396381415e-05,1,0,0
57,1,0.0117349,0.0129254,0.00322802,0.00075,0,300.76756888714914,4,3.569263917073923e-05,0,0,0
58,1,0.00100069,0.00971544,0.0128179,0.00075,1,300.24720853688683,5,0.00016044834181987836,0,0,1
59,1,0.00213613,0.00532787,0.00279534,0.00075,0,300.79350862007124,4,6.36116111537198e-05,0,0,0
60,1,0.0120355,0.013347,0.00068661,0.00075,0,300.94823734059486,2,2.257291177599093e-05,1,0,0
61,1,0.0110029,0.00961298,0.00729321,0.00075,0,300.5494830395046,5,3.8583091465190185e-05,0,0,0
62,1,0.0060172,0.0129855,0.0130881,0.00075,0,300.18699654826116,4,4.7762902510603545e-05,0,0,0
63,1,0.00992413,0.0133021,0.00053523,0.00075,0,300.9275542474054,3,5.8151425368870206e-05,1,0,0
64,1,0.00293915,0.00172612,0.00892091,0.00075,1,300.43736212094234,6,9.062617855787746e-05,0,0,0
65,1,0.0141194,0.00470703,0.00433182,0.00075,1,300.6735373856903,5,0.00014096726704912043,0,0,0
66,1,0.00121268,0.0113235,0.00138436,0.00075,0,300.8827067587365,4,2.6344170753957747e-05,0,0,0
67,1,0.00688462,0.00627852,0.00651933,0.00075,1,300.52766587899583,3,0.00015697191911624549,0,0,0
68,1,0.014513,0.00303612,0.00319182,0.00075,0,300.8037435869303,3,4.9540859394484155e-06,0,0,0
69,1,0.00707004,0.0133918,0.0112428,0.00075,0,300.28929687668744,4,3.221425311584331e-05,0,0,0
70,1,0.0100237,0.00090997,0.00807165,0.00075,0,300.4750474091584,5,3.1737693981551246e-05,0,0,0
71,1,0.00294313,0.00540802,0.00424802,0.00075,0,300.6798365708065,4,1.5356371486483824e-05,0,0,0
72,1,0.00202257,0.0139033,0.0111178,0.00075,0,300.30259525682766,3,1.721329741284122e-05,0,0,0
73,1,0.00319117,0.000773919,0.00404224,0.00075,0,300.7112757455089,4,3.0934555518428606e-05,0,0,0
74,1,0.00411156,0.0111401,0.00131896,0.00075,0,300.8540210748538,4,5.053631271833252e-05,0,0,0
75,1,0.00365903,0.00848651,0.0109622,0.00075,0,300.27930608989004,3,1.957614393214727e-05,0,0,0
76,1,0.0139297,0.00441449,0.000810209,0.00075,0,300.8841780825178,4,1.632457920392285e-05,0,0,0
77,1,0.0132174,0.0116445,0.00633496,0.00075,0,300.5801309385266,3,1.6995653760464034e-05,0,0,0
78,1,0.0152694,0.0114629,0.000730223,0.00075,0,300.9473113635485,2,1.2833874662153024e-05,1,0,0
79,1,2.10957e-05,0.0124219,0.0128926,0.00075,0,300.2118259264455,2,7.913708220881839e-20,0,0,0
80,1,0.00812884,0.00672759,0.00191333,0.00075,0,300.85252423955444,6,4.5719264573918106e-05,0,0,0
81,1,0.0139239,0.0132632,0.0116239,0.00075,0,300.3177068702705,4,9.323369668577052e-06,0,0,0
82,1,0.0143449,0.00874883,0.0113934,0.00075,0,300.31068659659,3,1.0972640241006833e-05,0,0,0
83,1,0.00970284,0.0148041,0.0072549,0.00075,0,300.5131433762176,5,4.270137072814088e-05,0,0,0
84,1,0.0141921,0.0016198,0.00281419,0.00075,0,300.86303558703577,1,6.963903465771795e-20,0,0,0
85,1,0.0124835,0.0087772,0.00175103,0.00075,0,300.8536383033862,6,5.988301606323572e-05,0,0,0
86,1,0.00855338,0.00550281,0.00613339,0.00075,0,300.6656986866502,3,1.9081942844305023e-05,0,0,0
87,1,0.00574114,0.00670103,0.000719644,0.00075,0,300.94738084034503,2,1.5879133772974324e-05,1,0,0
88,1,0.00946706,0.00689528,0.0146936,0.00075,0,300.0479527829293,3,2.2435366281213714e-05,0,1,0
89,1,0.0108709,0.0145836,0.0146587,0.00075,0,300.0615797374268,2,2.080961822303451e-05,0,1,0
90,1,0.0119734,0.000960034,0.00193928,0.00075,0,300.86379387151453,3,3.409216329113865e-05,0,0,0
91,1,0.000840014,0.000597723,0.00628912,0.00075,0,300.5731075187535,6,4.071798964352199e-05,0,0,0
92,1,0.0127506,0.0149793,0.00864884,0.00075,0,300.489887365767,3,6.619641400757028e-06,0,0,0
93,1,0.00327322,0.000392376,0.00893675,0.00075,0,300.41745849173975,5,4.266343490442406e-05,0,0,0
94,1,0.01105,0.00419438,0.0114617,0.00075,0,300.29567509193475,4,2.5482727645014295e-05,0,0,0
95,1,0.000918659,0.00812926,0.0147495,0.00075,0,300.0688830292579,3,4.282931832552266e-05,0,1,0
96,1,0.000769681,0.0133036,0.0139116,0.00075,0,300.1152912512299,3,2.230756247590132e-05,0,0,0
97,1,0.00339048,0.0115744,0.0120943,0.00075,0,300.2748524227378,4,2.3935480401376293e-05,0,0,0
98,1,0.00954842,0.00167467,0.000636293,0.00075,0,300.9353471697697,4,3.7760850657347735e-05,1,0,0
99,1,0.00747248,0.00193563,0.00762142,0.00075,0,300.54499480374477,4,4.894229472473994e-05,0,0,0
100,1,0.00501008,0.00690803,0.0134989,0.00075,1,300.1997396964322,6,0.0001540041568944138,0,0,0
101,2,0.00968778,0.0110666,0.000939472,0.001,0,300.9140364333044,5,4.33986700764901e-05,1,0,0
102,2,0.012526,0.00349482,0.000923494,0.001,0,300.8988445692284,7,6.838745250721712e-05,1,0,0
103,2,0.0110664,0.00219539,0.0112643,0.001,0,300.26655389628826,5,7.28248007286766e-05,0,0,0
104,2,0.000355866,0.00506505,0.00096501,0.001,0,300.9350518389984,5,2.4297904763613423e-05,1,0,0
105,2,0.00815764,0.00155739,0.00468163,0.001,0,300.6935563217789,7,0.00010601490924912081,0,0,0
106,2,0.00379715,0.00221146,0.0103515,0.001,0,300.32156539868646,7,0.00010827738336062845,0,0,0
107,2,0.00562145,0.0141155,0.0106443,0.001,0,300.28389901179946,4,4.036032334764231e-05,0,0,0
108,2,0.0047149,0.001044,0.000983718,0.001,0,300.94150599379043,2,1.508501224491073e-05,1,0,0
