id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,9,contact,0.0013950874648354487,-0.00010491253516455132,0.00010491253516455132,0.00019834868461047768,0.00019834868461047768,0.0,0.00019834868461047768,300.20499501452616,300.16221405773445,8.485546506014662e-06
1,216,contact,0.001689751605122377,-6.024839487762295e-05,6.024839487762295e-05,0.000160688333931989,0.000160688333931989,0.0,0.000160688333931989,300.20499501452616,300.1802665413566,3.973577154296214e-06
1,259,contact,0.0016754718974019067,-7.452810259809335e-05,7.452810259809335e-05,0.0001787193761156939,0.0001787193761156939,0.0,0.0001787193761156939,300.20499501452616,300.2685327973093,-1.1355432898780401e-05
1,427,contact,0.0019576610303372243,-4.233896966277569e-05,4.233896966277569e-05,0.00014087722324572594,0.00014087722324572594,0.0,0.00014087722324572594,300.20499501452616,300.21282943045287,-1.1036907615068505e-06
2,54,contact,0.0014811139602893492,-1.888603971065086e-05,1.888603971065086e-05,8.415619342326548e-05,8.415619342326548e-05,0.0,8.415619342326548e-05,300.9478674179588,300.9089631542699,3.2740347399920906e-06
2,343,contact,0.0017403953159279648,-9.604684072035208e-06,9.604684072035208e-06,6.415834453700761e-05,6.415834453700761e-05,0.0,6.415834453700761e-05,300.9478674179588,300.94043255423605,4.770085483080798e-07
2,394,contact,0.0017333415210399243,-1.6658478960075718e-05,1.6658478960075718e-05,8.449466329743397e-05,8.449466329743397e-05,0.0,8.449466329743397e-05,300.9478674179588,300.88975318672135,4.910342401195481e-06
3,32,contact,0.0014192915951628823,-8.070840483711769e-05,8.070840483711769e-05,0.00017397026129174818,0.00017397026129174818,0.0,0.00017397026129174818,300.79301542315085,300.863633446212,-1.2285435923858819e-05
3,129,contact,0.0016843216658643328,-6.567833413566727e-05,6.567833413566727e-05,0.00016777323233077004,0.00016777323233077004,0.0,0.00016777323233077004,300.79301542315085,300.83962642394533,-7.820078265462819e-06
3,419,contact,0.0019347549337836046,-6.524506621639545e-05,6.524506621639545e-05,0.00017488174515636377,0.00017488174515636377,0.0,0.00017488174515636377,300.79301542315085,300.7580139793637,6.121113572492028e-06
3,433,contact,0.0019463010056258,-5.369899437419998e-05,5.369899437419998e-05,0.00015865498294382764,0.00015865498294382764,0.0,0.00015865498294382764,300.79301542315085,300.7048719538609,1.3984400616806193e-05
4,25,contact,0.0014141243802791893,-8.58756197208107e-05,8.58756197208107e-05,0.00017945293922169125,0.00017945293922169125,0.0,0.00017945293922169125,300.5614139870778,300.4693875184446,1.6514420282421866e-05
4,144,contact,0.0016648965578677855,-8.510344213221452e-05,8.510344213221452e-05,0.00019097880450706848,0.00019097880450706848,0.0,0.00019097880450706848,300.5614139870778,300.64718160224976,-1.6379796610963267e-05
4,229,contact,0.0017318387197426904,-1.8161280257309592e-05,1.8161280257309592e-05,8.822361262474607e-05,8.822361262474607e-05,0.0,8.822361262474607e-05,300.5614139870778,300.4671234304468,8.318653542384551e-06
4,347,contact,0.0016943850366725978,-5.561496332740228e-05,5.561496332740228e-05,0.00015438582928226414,0.00015438582928226414,0.0,0.00015438582928226414,300.5614139870778,300.61616821713335,-8.453277213838048e-06
5,68,contact,0.001460501252344551,-3.949874765544906e-05,3.949874765544906e-05,0.00012170468508152592,0.00012170468508152592,0.0,0.00012170468508152592,300.2438805148401,300.1395057012799,1.2702903814785237e-05
5,109,contact,0.0017033139254112846,-4.6686074588715406e-05,4.6686074588715406e-05,0.00014145076062318658,0.00014145076062318658,0.0,0.00014145076062318658,300.2438805148401,300.321529741758,-1.0983542209341205e-05
5,297,contact,0.001697762979217064,-5.2237020782936036e-05,5.2237020782936036e-05,0.00014962384375913587,0.00014962384375913587,0.0,0.00014962384375913587,300.2438805148401,300.2568325634977,-1.937935304706933e-06
5,388,contact,0.00173848153700291,-1.1518462997089961e-05,1.1518462997089961e-05,7.026011771702338e-05,7.026011771702338e-05,0.0,7.026011771702338e-05,300.2438805148401,300.3253992659863,-5.727517051675147e-06
5,477,contact,0.0019728558457474785,-2.714415425252156e-05,2.714415425252156e-05,0.00011279992156854312,0.00011279992156854312,0.0,0.00011279992156854312,300.2438805148401,300.1911669077003,5.946090750966889e-06
6,59,contact,0.0013786461135839023,-0.00012135388641609768,0.00012135388641609768,0.0002133253557504045,0.0002133253557504045,0.0,0.0002133253557504045,300.05860907674,300.1076504279452,-1.0461763692324686e-05
6,172,contact,0.0016701413870987088,-7.985861290129128e-05,7.985861290129128e-05,0.00018500032382360608,0.00018500032382360608,0.0,0.00018500032382360608,300.05860907674,300.1595926493683,-1.8681993637091216e-05
6,219,contact,0.0016843140893847562,-6.56859106152438e-05,6.56859106152438e-05,0.00016778290899072587,0.00016778290899072587,0.0,0.00016778290899072587,300.05860907674,300.0709660560635,-2.0732899372349504e-06
7,106,contact,0.0016381486263767411,-0.0001118513736232589,0.0001118513736232589,0.00021894360685207657,0.00021894360685207657,0.0,0.00021894360685207657,300.1441733313736,300.07220424830507,1.5757170628865534e-05
7,146,contact,0.0016832705189897435,-6.672948101025655e-05,6.672948101025655e-05,0.00016911046391159733,0.00016911046391159733,0.0,0.00016911046391159733,300.1441733313736,300.2196422503496,-1.276258389893091e-05
7,251,contact,0.0016699991227542607,-8.000087724573937e-05,8.000087724573937e-05,0.00018516503516639962,0.00018516503516639962,0.0,0.00018516503516639962,300.1441733313736,300.13934124350294,8.947337205019266e-07
7,261,contact,0.0016252982564747913,-0.0001247017435252087,0.0001247017435252087,0.00023117872819086662,0.00023117872819086662,0.0,0.00023117872819086662,300.1441733313736,300.23090486147873,-2.0050484823747686e-05
7,330,contact,0.0016482040487755159,-0.00010179595122448417,0.00010179595122448417,0.00020887038143084012,0.00020887038143084012,0.0,0.00020887038143084012,300.1441733313736,300.06679919980695,1.6161164373210613e-05
8,196,contact,0.0016781323575284525,-7.186764247154752e-05,7.186764247154752e-05,0.00017550047920758449,0.00017550047920758449,0.0,0.00017550047920758449,300.9505976271526,300.93058387904784,3.512422383125106e-06
8,255,contact,0.0017075607806239278,-4.243921937607223e-05,4.243921937607223e-05,0.0001348637715454359,0.0001348637715454359,0.0,0.0001348637715454359,300.9505976271526,300.93269687479494,2.4141629764550876e-06
