id,type,x_m,y_m,z_m,radius_m,conductivity_W_mK,temperature_K,g_hot_W_K,g_cold_W_K,hot_link,cold_link
1,1,0.0011707,0.00511052,0.000726714,0.00075,1.0,300.95027796616387,0.0002643066400982009,0.0,contact,none
2,1,0.00682956,0.00395168,0.0019128,0.00075,1.0,300.8430787421255,0.0,0.0,none,none
3,1,0.00344407,0.00137597,0.00702864,0.00075,10.0,300.52026624433813,0.0,0.0,none,none
4,1,0.00379403,0.00436476,0.000690016,0.00075,1.0,300.94863583355504,0.00042420749639769456,0.0,contact,none
5,1,0.00628875,0.00663954,0.00724597,0.00075,1.0,300.5051435569382,0.0,0.0,none,none
6,1,0.00542279,0.00680687,0.00141509,0.00075,1.0,nan,0.0,0.0,none,none
7,1,0.00404529,0.00458572,0.00550295,0.00075,1.0,300.62780917651884,0.0,0.0,none,none
8,1,0.00256822,0.00185237,0.00540656,0.00075,1.0,300.6544541429898,0.0,0.0,none,none
9,1,0.000740444,0.00561481,0.00518617,0.00075,1.0,300.64856583301355,0.0,0.0,none,none
10,1,0.0037849,0.00384102,0.00271738,0.00075,1.0,300.78726322510937,0.0,0.0,none,none
11,1,0.0010634,0.00688146,0.00446362,0.00075,1.0,300.7191325319882,0.0,0.0,none,none
12,1,0.00136381,0.00400063,0.00166595,0.00075,1.0,300.8861763912783,0.0,0.0,none,none
13,1,0.00180116,0.0029669,0.000724021,0.00075,1.0,300.9606340145796,0.0002791719899989967,0.0,contact,none
14,1,0.00285347,0.00194218,0.0021302,0.00075,1.0,300.8417830778056,0.0,0.0,none,none
15,1,0.00515781,0.00388396,0.00614525,0.00075,1.0,300.57757395801616,0.0,0.0,none,none
16,1,0.00439855,0.00238369,0.001787,0.00075,1.0,300.93582665164655,0.0,0.0,none,none
17,1,0.00219297,0.00549159,0.00280579,0.00075,1.0,300.80086830147076,0.0,0.0,none,none
18,1,0.00141109,0.00219405,0.00611624,0.00075,1.0,300.5929160633595,0.0,0.0,none,none
19,1,0.00279567,0.00445008,0.00364297,0.00075,1.0,300.74498676815006,0.0,0.0,none,none
20,1,0.00657539,0.00315625,0.00310777,0.00075,1.0,300.76675044614854,0.0,0.0,none,none
21,1,0.00614882,0.00494256,0.00385241,0.00075,1.0,300.73131080789955,0.0,0.0,none,none
22,1,0.00417694,0.00499294,0.00190663,0.00075,1.0,300.8406117742114,0.0,0.0,none,none
23,1,0.00276292,0.00450743,0.00186774,0.00075,1.0,300.8380136890672,0.0,0.0,none,none
24,1,0.0037867,0.00244212,0.00315535,0.00075,1.0,300.7905593332424,0.0,0.0,none,none
25,1,0.00513715,0.00270404,0.00535036,0.00075,1.0,300.63221021470457,0.0,0.0,none,none
26,1,0.00592388,0.00278187,0.00166533,0.00075,1.0,300.8899364491148,0.0,0.0,none,none
27,1,0.00334507,0.00422073,0.00719383,0.00075,1.0,300.5173496047348,0.0,0.0,none,none
28,1,0.00666115,0.0049784,0.000832305,0.00075,1.0,300.8879253759295,0.0,0.0,none,none
29,1,0.00569894,0.00246102,0.00403909,0.00075,10.0,300.69065818346127,0.0,0.0,none,none
30,1,0.00603666,0.00111207,0.00593149,0.00075,1.0,300.66035725452195,0.0,0.0,none,none
31,1,0.00514995,0.00373308,0.000801508,0.00075,1.0,300.91678406956373,0.0,0.0,none,none
32,1,0.00228033,0.00509546,0.00687752,0.00075,1.0,300.5230356336553,0.0,0.0,none,none
33,1,0.0014567,0.00233273,0.00226515,0.00075,1.0,300.86079284501136,0.0,0.0,none,none
34,1,0.00279029,0.00552338,0.00076022,0.00075,1.0,300.8892304904578,0.0,0.0,none,none
35,1,0.00511477,0.00321219,0.00288116,0.00075,1.0,300.7649225112733,0.0,0.0,none,none
36,1,0.00387528,0.0021753,0.00484406,0.00075,1.0,300.66675622526793,0.0,0.0,none,none
37,1,0.00351676,0.00601883,0.0026573,0.00075,1.0,300.80625218416617,0.0,0.0,none,none
38,1,0.0029903,0.00719235,0.0019787,0.00075,1.0,300.8501364132298,0.0,0.0,none,none
39,1,0.0050585,0.00173411,0.00296705,0.00075,1.0,300.7933819249208,0.0,0.0,none,none
40,1,0.00505141,0.0057516,0.00432738,0.00075,1.0,300.6978928111587,0.0,0.0,none,none
41,1,0.00623812,0.00369021,0.00455737,0.00075,1.0,300.66795009623684,0.0,0.0,none,none
42,1,0.00618351,0.00256406,0.00668012,0.00075,10.0,300.55842800543076,0.0,0.0,none,none
43,1,0.00597012,0.00526271,0.00695189,0.00075,1.0,300.5417594633095,0.0,0.0,none,none
44,1,0.00498613,0.00577743,0.00284157,0.00075,1.0,300.7823879658847,0.0,0.0,none,none
45,1,0.00289932,0.00316402,0.00435227,0.00075,1.0,300.69578668003277,0.0,0.0,none,none
46,1,0.0064113,0.00170331,0.00258678,0.00075,10.0,300.9001598825137,0.0,0.0,none,none
47,1,0.00366126,0.00537321,0.00433115,0.00075,1.0,300.69869107526324,0.0,0.0,none,none
48,1,0.00479755,0.00450517,0.00355692,0.00075,1.0,300.7346167292063,0.0,0.0,none,none
49,1,0.00455066,0.00499305,0.00683327,0.00075,1.0,300.556320079817,0.0,0.0,none,none
50,1,0.0042939,0.00353752,0.00449492,0.00075,1.0,300.67712893402825,0.0,0.0,none,none
51,1,0.00233097,0.00324931,0.00568384,0.00075,1.0,300.6451649896189,0.0,0.0,none,none
52,1,0.00284111,0.00193883,0.000692047,0.00075,1.0,300.9506352805138,0.00041696402722537113,0.0,contact,none
53,1,0.00320316,0.00319229,0.00135556,0.00075,1.0,300.91719416527786,0.0,0.0,none,none
54,1,0.00622494,0.00654224,0.00265633,0.00075,1.0,300.80553336219594,0.0,0.0,none,none
55,1,0.00648516,0.00245198,0.00527826,0.00075,10.0,300.6338389543253,0.0,0.0,none,none
56,1,0.00274193,0.00641659,0.00382049,0.00075,1.0,300.741205600295,0.0,0.0,none,none
57,1,0.00197388,0.00535377,0.00445731,0.00075,1.0,300.69463329671004,0.0,0.0,none,none
58,1,0.0040045,0.00634479,0.00125722,0.00075,1.0,nan,0.0,0.0,none,none
59,1,0.00241118,0.00322744,0.00293495,0.00075,1.0,300.78476707507167,0.0,0.0,none,none
60,1,0.00172597,0.00615287,0.00160933,0.00075,1.0,300.8892304904578,0.0,0.0,none,none
61,1,0.000977101,0.000911616,0.00545079,0.00075,1.0,300.62708286259675,0.0,0.0,none,none
62,1,0.00443702,0.00126193,0.00603096,0.00075,10.0,300.585163985016,0.0,0.0,none,none
63,1,0.00561194,0.00474941,0.00194474,0.00075,1.0,300.84184523999545,0.0,0.0,none,none
64,1,0.00170942,0.00703751,0.00312605,0.00075,1.0,300.7897096188526,0.0,0.0,none,none
65,1,0.00243152,0.00701389,0.000672135,0.00075,1.0,300.94023576681894,0.0004833166663793004,0.0,contact,none
66,1,0.00188511,0.00601158,0.00583302,0.00075,1.0,300.5697616739879,0.0,0.0,none,none
67,1,0.000323769,0.00273242,0.000725229,0.00075,1.0,300.94758973841647,0.0002726041085530446,0.0,contact,none
68,1,0.00634732,0.00449835,0.00574789,0.00075,1.0,300.6158598238723,0.0,0.0,none,none
69,1,0.00217128,0.00731696,0.00538021,0.00075,1.0,300.57118310019564,0.0,0.0,none,none
70,1,0.00258048,0.00464355,0.00556401,0.00075,1.0,300.6181742332102,0.0,0.0,none,none
71,1,0.00453461,0.00191424,0.0111223,0.00075,10.0,300.2742516538507,0.0,0.0,none,none
72,1,0.00353546,0.00135252,0.0103632,0.00075,10.0,300.32829041023643,0.0,0.0,none,none
73,1,0.0045999,0.00528853,0.0136847,0.00075,1.0,300.12383312796317,0.0,0.0,none,none
74,1,0.00217832,0.00686735,0.0128385,0.00075,1.0,nan,0.0,0.0,none,none
75,1,0.00467253,0.00419829,0.0110359,0.00075,1.0,300.2802318544226,0.0,0.0,none,none
76,1,0.0072877,0.00593717,0.00805869,0.00075,1.0,300.4650199123464,0.0,0.0,none,none
77,1,0.00464089,0.00120988,0.00938556,0.00075,1.0,300.386264867402,0.0,0.0,none,none
78,1,0.00284042,0.00729213,0.014276,0.00075,1.0,300.10980535119086,0.0,0.0,none,none
79,1,0.00494062,0.00455944,0.0124385,0.00075,1.0,300.18679321824436,0.0,0.0,none,none
80,1,0.00435703,0.00687876,0.00928385,0.00075,1.0,300.38443951183865,0.0,0.0,none,none
81,1,0.00145594,0.00708937,0.0146906,0.00075,1.0,300.05568696919397,0.0,0.0004581445607570868,none,contact
82,1,0.00587305,0.00579836,0.00838813,0.00075,1.0,300.4590751396313,0.0,0.0,none,none
83,1,0.00360872,0.00484254,0.0146581,0.00075,1.0,300.0660600254863,0.0,0.0003352557807873048,none,contact
84,1,0.00564652,0.00211842,0.0143288,0.00075,1.0,300.0763938876944,0.0,0.0,none,none
85,1,0.00164471,0.00457336,0.0103152,0.00075,1.0,300.2932862880949,0.0,0.0,none,none
86,1,0.00718678,0.00427955,0.0126152,0.00075,1.0,300.1806156501908,0.0,0.0,none,none
87,1,0.00138808,0.015197,0.0138185,0.00075,1.0,300.1209105450539,0.0,0.0,none,none
88,1,0.00223355,0.00409084,0.0115971,0.00075,1.0,300.2305355876302,0.0,0.0,none,none
89,1,0.00712973,0.0058333,0.0100266,0.00075,1.0,300.33863439892525,0.0,0.0,none,none
90,1,0.00514102,0.00550627,0.0107058,0.00075,1.0,300.29912095562787,0.0,0.0,none,none
91,1,0.00196848,0.00116962,0.0135393,0.00075,1.0,300.13792735864575,0.0,0.0,none,none
92,1,0.00482817,0.00669996,0.00792395,0.00075,1.0,300.4606715713324,0.0,0.0,none,none
93,1,0.00470613,0.00231828,0.0124863,0.00075,10.0,300.22042791490577,0.0,0.0,none,none
94,1,0.00227713,0.00190508,0.0102162,0.00075,1.0,300.32828595308433,0.0,0.0,none,none
95,1,0.00357693,0.00171218,0.0130554,0.00075,10.0,300.1689305650773,0.0,0.0,none,none
96,1,0.00303034,0.00339469,0.00880031,0.00075,1.0,300.3978489636807,0.0,0.0,none,none
97,1,0.00408372,0.0063961,0.0105598,0.00075,1.0,300.3110911832572,0.0,0.0,none,none
98,1,0.00524266,0.0152823,0.00960948,0.00075,1.0,300.3919273960695,0.0,0.0,none,none
99,1,0.00605772,0.00493369,0.013339,0.00075,1.0,300.1369270980594,0.0,0.0,none,none
100,1,0.00178176,0.00362604,0.0129601,0.00075,1.0,300.17694574614575,0.0,0.0,none,none
101,2,0.00399246,0.00186836,0.0145468,0.001,10.0,300.0466566710865,0.0,0.008394414321847602,none,contact
102,2,0.00710799,0.00456736,0.0089545,0.001,1.0,300.42447071078215,0.0,0.0,none,none
103,2,0.00357848,0.00304545,0.0103741,0.001,10.0,300.3133147458959,0.0,0.0,none,none
104,2,0.00481632,0.0036413,0.0144291,0.001,1.0,300.0535248201343,0.0,0.00048359271920533285,none,contact
105,2,0.00567325,0.00610861,0.0121082,0.001,1.0,300.2143397634122,0.0,0.0,none,none
106,2,0.00849744,0.00525546,0.0125753,0.001,1.0,300.1820683624929,0.0,0.0,none,none
107,2,0.000851763,0.00328753,0.0143884,0.001,1.0,300.0624311978085,0.0,0.00026657441375421475,none,contact
108,2,0.00710458,0.00632546,0.0132729,0.001,1.0,300.14300359047036,0.0,0.0,none,none
109,2,0.00198132,0.0046344,0.00845073,0.001,1.0,300.4153532634286,0.0,0.0,none,none
110,2,0.00458323,0.00278487,0.00880242,0.001,10.0,300.41744421214236,0.0,0.0,none,none
111,2,0.00507721,0.00157563,0.00747549,0.001,10.0,300.5123176089219,0.0,0.0,none,none
112,2,0.00280501,0.00261203,0.0120275,0.001,10.0,300.22794728621267,0.0,0.0,none,none
113,2,0.00104019,0.00216431,0.0125441,0.001,1.0,300.18528130616846,0.0,0.0,none,none
114,2,0.00388317,0.00286776,0.00643502,0.001,1.0,300.5480032610195,0.0,0.0,none,none
115,2,0.00575946,0.00382595,0.00773708,0.001,1.0,300.48244351328043,0.0,0.0,none,none
116,2,0.00577752,0.00304296,0.0114438,0.001,1.0,300.25767278674584,0.0,0.0,none,none
117,2,0.0063902,0.00292149,0.00959416,0.001,1.0,300.3810122843341,0.0,0.0,none,none
118,2,0.00662637,0.0047182,0.0111098,0.001,1.0,300.25673686320897,0.0,0.0,none,none
119,2,0.00663465,0.00339992,0.0138561,0.001,1.0,300.1110536645355,0.0,0.0,none,none
120,2,0.00341431,0.0041004,0.0131237,0.001,1.0,300.16080766672405,0.0,0.0,none,none
121,2,0.00229923,0.00267082,0.00746956,0.001,1.0,300.4670097354991,0.0,0.0,none,none
122,2,0.00581121,0.00614364,0.0145423,0.001,1.0,300.06602583876355,0.0,0.0008286506610559103,none,contact
123,2,0.00333322,0.00488549,0.0102589,0.001,1.0,300.308288799892,0.0,0.0,none,none
124,2,0.00155176,0.00643669,0.00746675,0.001,1.0,300.47421013203495,0.0,0.0,none,none
125,2,0.00370366,0.0054593,0.00828345,0.001,1.0,300.4480473946216,0.0,0.0,none,none
126,2,0.00508948,0.00460041,0.0093519,0.001,1.0,300.4090255202129,0.0,0.0,none,none
