id_i,id_j,edge_kind,distance_m,surface_gap_m,overlap_m,contact_radius_m,g_contact_W_K,g_gap_W_K,g_total_W_K,T_i_K,T_j_K,heat_i_to_j_W
1,12,contact,0.001466734995797128,-3.326500420287198e-05,3.326500420287198e-05,0.00011168874865480852,0.00011168874865480852,0.0,0.00011168874865480852,300.95027796616387,300.8861763912783,7.1594246857717394e-06
1,60,contact,0.0014743911620923398,-2.5608837907660238e-05,2.5608837907660238e-05,9.799650103637675e-05,9.799650103637675e-05,0.0,9.799650103637675e-05,300.95027796616387,300.8892304904578,5.9824390162972406e-06
2,20,contact,0.0014578287192602564,-4.2171280739743654e-05,4.2171280739743654e-05,0.00012575464316439322,0.00012575464316439322,0.0,0.00012575464316439322,300.8430787421255,300.76675044614854,9.598637623929298e-06
2,26,contact,0.0014999843663851967,-1.563361480333078e-08,1.563361480333078e-08,2.421281799223098e-06,2.421281799223098e-06,0.0,2.421281799223098e-06,300.8430787421255,300.8899364491148,-1.134557130865902e-07
2,28,contact,0.0014999951105003643,-4.889499635686231e-09,4.889499635686231e-09,1.3540909730820661e-06,1.3540909730820661e-06,0.0,1.3540909730820661e-06,300.8430787421255,300.8879253759295,-6.072642200713164e-08
2,63,contact,0.0014560191554028401,-4.398084459715989e-05,4.398084459715989e-05,0.0001284243618786364,0.0001284243618786364,0.0,0.0001284243618786364,300.8430787421255,300.84184523999545,1.5841172392744197e-07
2,314,contact,0.0016950523457993855,-5.494765420061454e-05,5.494765420061454e-05,0.0001534568169140955,0.0001534568169140955,0.0,0.0001534568169140955,300.8430787421255,300.8731309202761,-4.611711600323887e-06
2,316,contact,0.0017220093182221754,-2.7990681777824607e-05,2.7990681777824607e-05,0.00010952628212539009,0.00010952628212539009,0.0,0.00010952628212539009,300.8430787421255,300.93878383348647,-1.0482222837237743e-05
2,317,contact,0.0016947050528336779,-5.5294947166322156e-05,5.5294947166322156e-05,0.0001539410098052249,0.0001539410098052249,0.0,0.0001539410098052249,300.8430787421255,300.80727887806233,5.511067224773391e-06
3,62,contact,0.0014122040243888273,-8.779597561117268e-05,8.779597561117268e-05,0.00018144831455318,0.0018144831455318001,0.0,0.0018144831455318001,300.52026624433813,300.585163985016,-0.00011775585664305219
